+----------------------------------------------------------------+
|   №  |  Элемент               |   Информация                   |
+----------------------------------------------------------------+
|  1     |#include                           |PREPROCESSOR DIRECTIVE                              
|  1     |<iostream>                         |HEADER FILE                                         
|  2     |#include                           |PREPROCESSOR DIRECTIVE                              
|  2     |<string>                           |LIBRARY                                             
|  4     |int                                |DATA TYPE                                           
|  4     |function                           |FUNCTION (INT)                                      
|  4     |(                                  |PARENTHESIS                                         
|  4     |int                                |DATA TYPE                                           
|  4     |k                                  |VARIABLE (INT)                                      
|  4     |)                                  |PARENTHESIS                                         
|  4     |{                                  |PARENTHESIS                                         
|  5     |std                                |NAMESPACE                                           
|  5     |::                                 |DOUBLE COLON                                        
|  5     |cout                               |KEYWORD                                             
|  5     |<<                                 |OPERATOR                                            
|  5     |k                                  |VARIABLE (INT)                                      
|  5     |;                                  |END OF CONSTRUCTION                                 
|  6     |}                                  |PARENTHESIS                                         
|  8     |int                                |DATA TYPE                                           
|  8     |main                               |FUNCTION (INT)                                      
|  8     |(                                  |PARENTHESIS                                         
|  8     |)                                  |PARENTHESIS                                         
|  8     |{                                  |PARENTHESIS                                         
|  9     |int                                |DATA TYPE                                           
|  9     |arr                                |ARRAY (int)                                         
|  9     |[                                  |PARENTHESIS                                         
|  9     |1                                  |INTEGER                                             
|  9     |]                                  |PARENTHESIS                                         
|  9     |;                                  |END OF CONSTRUCTION                                 
|  10    |std                                |NAMESPACE                                           
|  10    |::                                 |DOUBLE COLON                                        
|  10    |string                             |DATA TYPE                                           
|  10    |text                               |VARIABLE (STRING)                                   
|  10    |=                                  |ASSIGNMENT OPERATOR                                 
|  10    |"Hello, world!"                    |STRING                                              
|  10    |;                                  |END OF CONSTRUCTION                                 
|  11    |std                                |NAMESPACE                                           
|  11    |::                                 |DOUBLE COLON                                        
|  11    |string                             |DATA TYPE                                           
|  11    |pattern                            |VARIABLE (STRING)                                   
|  11    |=                                  |ASSIGNMENT OPERATOR                                 
|  11    |"world"                            |STRING                                              
|  11    |;                                  |END OF CONSTRUCTION                                 
|  12    |int                                |DATA TYPE                                           
|  12    |n                                  |VARIABLE (INT)                                      
|  12    |=                                  |ASSIGNMENT OPERATOR                                 
|  12    |13                                 |INTEGER                                             
